,0,1,2,3,4,5,,,,,,,,,,,,,,
91,0,11742,0,0,0,18258,,,,,,,,,,,,,,
92,0,11624,0,0,0,18376,,,,,,,,,,,,,,
93,0,11484,0,0,0,18516,,,,,,,,,,,,,,
94,0,11365,0,0,0,18635,,,,,,,,,,,,,,
95,0,11247,0,0,0,18753,,,,,,,,,,,,,,
96,0,11132,0,0,0,18868,,,,,,,,,,,,,,
97,0,11042,0,0,0,18958,,,,,,,,,,,,,,
98,0,10928,0,0,0,19072,,,,,,,,,,,,,,
99,0,10822,0,0,0,19178,,,,,,,,,,,,,,
100,0,10708,0,0,0,19292,,,,,,,,,,,,,,
